Title,Author
Americanah,Chimamanda Ngozi Adichie
M Train,Patti Smith
The Secret History,Donna Tartt
The Universal Baseball Association,Robert Coover
On Beauty,Zadie Smith
Super Sad True Love Story,Gary Shteyngart
The Manual Volume 4,Liz Danzico
I Dreamed I Was a Very Clean Tramp,Richard Hell
Arkansas,John Brandon
The Buried Giant,Kazuo Ishiguro
Kafka on the Shore,Haruki Murakami
Between the World and Me,Ta-Nehisi Coates
Speedboat,Renata Adler
The Dispossessed,Ursula K. Le Guin
NW,Zadie Smith
Dept. of Speculation,Jenny Offill
Love in a Blue Time: Short Stories,Hanif Kureishi
