Title,Author
Commonwealth, Ann Patchett
Swing Time, Zadie Smith
Apartment Gardening, Amy Pennington
The Wind's Twelve Quarters, Ursula K. Le Guin
The Laws of Simplicity, John Maeda
Exit West, Mohsin Hamid
The Lonely City: Adventures in the Art of Being Alone, Olivia Laing
The Argonauts, Maggie Nelson
The Walkable City: From Haussmann's Boulevards to Jane Jacobs' Streets and Beyond, Mary Soderstrom
This Book Will Save Your Life, A.M. Homes
Sadaharu Oh!: A Zen Way of Baseball, Sadaharu Oh
Your Money or Your Life, Vicki Robin
Go Tell It on the Mountain, James Baldwin
Homegoing,Yaa Gyasi
Peace is Every Step,Thich Nhat Hanh
The Mothers,Brit Bennett
A Wizard of Earthsea,Ursula K. Le Guin
The Tombs of Atuan,Ursula K. Le Guin
The Member of the Wedding,Carson McCullers
There There,Tommy Orange
The Wangs vs. the World,Jade Chang
The Incendiaries,R.O. Kwon
The Round House, Louise Erdrich
Life in Code, Ellen Ullman
Miles Away,Libby Zay
Kindred,Octavia E. Butler
