Title,Author
The Obelisk Gate (The Broken Earth #2), N.K. Jemisin
The Fifth Season (The Broken Earth #1), N.K. Jemisin
Emergent Strategy: Shaping Change,  adrienne maree brown
The Sentence, Louise Erdrich
