Title,Author
The Odd Woman and the City: A Memoir,Vivian Gornick
Felix Ever After,Kacen Callender
When No One is Watching, Alyssa Cole
The Vanishing Half, Brit  Bennett
The Night Watchman, Louise Erdrich
Bury My Heart at Chuck E. Cheese's, Tiffany Midge
The City We Became, N.K. Jemisin
No One Is Talking About This, Patricia Lockwood
It's All About the Bike: The Pursuit of Happiness on Two Wheels, Robert Penn
Black Sun, Rebecca Roanhorse
The Nickel Boys, Colson Whitehead
