Title,Author
On Earth We're Briefly Gorgeous,Ocean Vuong
Algorithms of Oppression: How Search Engines Reinforce Racism,Safiya Umoja Noble
After Delores,Sarah Schulman
Aquicorn Cove,Katie O'Neill
Death in Venice,Thomas Mann
What We Lose,Zinzi Clemmons
The Fire This Time,Jesmyn Ward
If Beale Street Could Talk,James Baldwin
Weetzie Bat,Francesca Lia Block
How To Do Nothing,Jenny Odell
The Other Americans, Laila Lalami
Convenience Store Woman,Sayaka Murata
