Title,Author
Fevered Star (Between Earth and Sky #2), Rebecca Roanhorse
The Sophie Horowitz Story, Sarah Schulman
"Girls, Visions and Everything", Sarah Schulman
Eileen, Ottessa Moshfegh
Piranesi, Susanna Clarke
My Rock 'n' Roll Friend, Tracey Thorn
All Systems Red (The Murderbot Diaries #1), Martha Wells
Beverly, Nick Drnaso
The Stone Sky (The Broken Earth #3), N.K. Jemisin
Small Game, Blair Braverman
The Lying Life of Adults, Elena Ferrante
Severance, Ling Ma
Shadow & Claw, Gene Wolfe
